Order,Level,Code,Parent,Description,Rulings,This item includes,This item also includes,This item excludes
508198,1,A,"PRODUCTS OF AGRICULTURE, FORESTRY AND FISHING",,,,,
508199,2,1,A,"Products of agriculture, hunting and related services",,,,
508200,3,1.1,1,Non-perennial crops,,,,
508201,4,1.11,1.1,"Cereals (except rice), leguminous crops and oil seeds","This class includes:
- cereals, leguminous crops and oil seeds grown for food and other purposes",,,
508202,5,01.11.1,1.11,Wheat,,,,
508203,6,01.11.11,01.11.1,Durum wheat,,,,
508204,6,01.11.12,01.11.1,"Wheat, except durum wheat",,,,
508205,5,01.11.2,1.11,Maize,,,,
508206,6,01.11.20,01.11.2,Maize,"This subcategory excludes: 
- fodder maize, see 01.19.10",,,
508207,5,01.11.3,1.11,"Barley, rye and oats",,,,
508208,6,01.11.31,01.11.3,Barley,,,,
508209,6,01.11.32,01.11.3,Rye,,,,
508210,6,01.11.33,01.11.3,Oats,,,,
508211,5,01.11.4,1.11,"Sorghum, millet and other cereals",,,,
508212,6,01.11.41,01.11.4,Sorghum,,,,
508213,6,01.11.42,01.11.4,Millet,,,,
508214,6,01.11.49,01.11.4,Other cereals,,,,
508215,5,01.11.5,1.11,Cereals straw and husks,,,,
508216,6,01.11.50,01.11.5,Cereals straw and husks,,,,
508217,5,01.11.6,1.11,Green leguminous vegetables,,,,
508218,6,01.11.61,01.11.6,"Beans, green",,,,
508219,6,01.11.62,01.11.6,"Peas, green",,,,
508220,6,01.11.69,01.11.6,Other green leguminous vegetables,,,,
508221,5,01.11.7,1.11,Dried leguminous vegetables,,,,
508222,6,01.11.71,01.11.7,"Beans, dry",,,,
508223,6,01.11.72,01.11.7,"Broad beans, dry",,,,
508224,6,01.11.73,01.11.7,"Chick peas, dry",,,,
508225,6,01.11.74,01.11.7,"Lentils, dry",,,,
508226,6,01.11.75,01.11.7,"Peas, dry",,,,
508227,6,01.11.79,01.11.7,Pulses (dried leguminous vegetables) n.e.c.,,,,
508228,5,01.11.8,1.11,"Soya beans, groundnuts and cotton seed",,,,
508229,6,01.11.81,01.11.8,Soya beans,,,,
508230,6,01.11.82,01.11.8,"Groundnuts, in shell",,,,
508231,6,01.11.83,01.11.8,"Groundnuts, shelled",,,,
508232,6,01.11.84,01.11.8,Cotton seed,,,,
508233,5,01.11.9,1.11,Other oil seeds,,,,
508234,6,01.11.91,01.11.9,Lin seed,,,,
508235,6,01.11.92,01.11.9,Mustard seed,,,,
508236,6,01.11.93,01.11.9,Rape or colza seed,,,,
508237,6,01.11.94,01.11.9,Sesame seed,,,,
508238,6,01.11.95,01.11.9,Sunflower seed,,,,
508239,6,01.11.99,01.11.9,Other oil seeds n.e.c.,,,,
508240,4,1.12,1.1,"Rice, not husked",,,,
508241,5,01.12.1,1.12,"Rice, not husked",,,,
508242,6,01.12.10,01.12.1,"Rice, not husked",,,,
508243,4,1.13,1.1,"Vegetables and melons, roots and tubers",,,,
508244,5,01.13.1,1.13,Leafy or stem vegetables,,,,
508245,6,01.13.11,01.13.1,Asparagus,,,,
508246,6,01.13.12,01.13.1,Cabbages,,,,
508247,6,01.13.13,01.13.1,Cauliflowers and broccoli,,,,
508248,6,01.13.14,01.13.1,Lettuce,,,,
508249,6,01.13.15,01.13.1,Chicory,,,,
508250,6,01.13.16,01.13.1,Spinach,,,,
508251,6,01.13.17,01.13.1,Artichokes,,,,
508252,6,01.13.19,01.13.1,Other leafy or stem vegetables,,,,
508253,5,01.13.2,1.13,Melons,,,,
508254,6,01.13.21,01.13.2,Watermelons,,,,
508255,6,01.13.29,01.13.2,Other melons,,,,
508256,5,01.13.3,1.13,Other fruit-bearing vegetables,,,,
508257,6,01.13.31,01.13.3,"Chillies and peppers, green (only capsicum)",,,,
508258,6,01.13.32,01.13.3,Cucumbers and gherkins,,,,
508259,6,01.13.33,01.13.3,Eggplants (aubergines),,,,
508260,6,01.13.34,01.13.3,Tomatoes,,,,
508261,6,01.13.39,01.13.3,Other fruit-bearing vegetables n.e.c.,"This subcategory includes:
- growing of courgettes
- growing of sweet corn
- growing of pumpkins, squash and other fruit bearing vegetables n.e.c.",,,
508262,5,01.13.4,1.13,"Root, bulb or tuberous vegetables",,,,
508263,6,01.13.41,01.13.4,Carrots and turnips,,,,
508264,6,01.13.42,01.13.4,Garlic,,,,
508265,6,01.13.43,01.13.4,Onions,"This subcategory includes:
- growing of onions and shallots",,,
508266,6,01.13.44,01.13.4,Leeks and other alliaceous vegetables,,,,
508267,6,01.13.49,01.13.4,"Other root, bulb or tuberous vegetables (without high starch or inulin content)",,,,
508268,5,01.13.5,1.13,Edible roots and tubers with high starch or inulin content,,,,
508269,6,01.13.51,01.13.5,Potatoes,,,,
508270,6,01.13.52,01.13.5,Sweet potatoes,,,,
508271,6,01.13.53,01.13.5,Cassava,,,,
508272,6,01.13.59,01.13.5,Other edible roots and tubers with high starch or inulin content,,,,
508273,5,01.13.6,1.13,"Vegetable seeds, except beet seeds",,,,
